,Period,Step,Payment,Interest,Principal,Balance,Growth Rate,cumPmt,cumInt,cumP,additional_payment
0,1,0,526.186917808219,521.186917808219,5.0,120778.0,0.00025,526.186917808219,521.186917808219,5.0,1000
1,2,0,526.186917808219,521.1653424657534,5.021575342465667,120772.97842465753,0.00025,1052.373835616438,1042.3522602739724,10.021575342465667,1000
2,3,0,526.186917808219,521.143674024207,5.04324378401202,120767.93518087352,0.00025,1578.5607534246572,1563.4959342981795,15.064819126477687,1000
3,4,0,526.186917808219,521.1219120818514,5.0650057263676445,120762.87017514715,0.00025,2104.747671232876,2084.6178463800306,20.12982485284533,1000
4,5,0,526.186917808219,521.100056235224,5.086861572995076,120757.78331357415,0.00025,2630.934589041095,2605.7179026152544,25.216686425840408,1000
5,6,0,526.186917808219,521.0781060791213,5.108811729097738,120752.67450184506,0.00025,3157.121506849314,3126.796008694376,30.325498154938145,1000
6,7,0,526.186917808219,521.0560612065916,5.130856601627443,120747.54364524344,0.00025,3683.3084246575327,3647.8520699009673,35.45635475656559,1000
7,8,0,526.186917808219,521.0339212089272,5.152996599291896,120742.39064864414,0.00025,4209.4953424657515,4168.885991109894,40.609351355857484,1000
8,9,0,526.186917808219,521.0116856756562,5.175232132562883,120737.21541651158,0.00025,4735.68226027397,4689.89767678555,45.78458348842037,1000
9,10,0,526.186917808219,520.9893541945362,5.19756361368286,120732.0178528979,0.00025,5261.869178082189,5210.887030980086,50.98214710210323,1000
10,11,0,526.186917808219,520.9669263515457,5.21999145667337,120726.79786144123,0.00025,5788.056095890408,5731.853957331632,56.202138558776596,1000
11,12,0,526.186917808219,520.9444017308765,5.242516077342543,120721.55534536389,0.00025,6314.243013698627,6252.798359062508,61.44465463611914,1000
12,13,0,526.186917808219,520.9217799149263,5.265137893292717,120716.29020747059,0.00025,6840.429931506846,6773.7201389774345,66.70979252941186,1000
13,14,0,526.186917808219,520.8990604842908,5.287857323928279,120711.00235014666,0.00025,7366.616849315064,7294.619199461726,71.99764985334014,1000
14,15,0,526.186917808219,520.876243017756,5.310674790463054,120705.6916753562,0.00025,7892.803767123283,7815.495442479481,77.30832464380319,1000
15,16,0,526.186917808219,520.8533270922903,5.333590715928722,120700.35808464026,0.00025,8418.990684931503,8336.348769571772,82.64191535973191,1000
16,17,0,526.186917808219,520.8303122830366,5.356605525182431,120695.00147911508,0.00025,8945.177602739723,8857.179081854809,87.99852088491434,1000
17,18,0,526.186917808219,520.8071981633047,5.379719644914303,120689.62175947016,0.00025,9471.364520547942,9377.986280018114,93.37824052982864,1000
18,19,0,526.186917808219,520.783984304563,5.402933503656072,120684.2188259665,0.00025,9997.551438356162,9898.770264322677,98.78117403348472,1000
19,20,0,526.186917808219,520.7606702764308,5.426247531788249,120678.79257843472,0.00025,10523.738356164382,10419.530934599108,104.20742156527297,1000
20,21,0,526.186917808219,520.7372556466703,5.449662161548758,120673.34291627316,0.00025,11049.925273972602,10940.268190245779,109.65708372682172,1000
21,22,0,526.186917808219,520.7137399811787,5.473177827040331,120667.86973844613,0.00025,11576.112191780821,11460.981930226957,115.13026155386206,1000
22,23,0,526.186917808219,520.6901228439799,5.496794964239143,120662.37294348188,0.00025,12102.299109589041,11981.672053070937,120.6270565181012,1000
23,24,0,526.186917808219,520.6664037972163,5.520514011002774,120656.85242947088,0.00025,12628.48602739726,12502.338456868154,126.14757052910397,1000
24,25,1,556.3511309155867,520.6425824011415,35.70854851444528,120621.14388095643,0.00025,13184.837158312848,13022.981039269296,161.85611904354926,1000
25,26,1,556.3511309155867,520.4884975685105,35.86263334707621,120585.28124760935,0.00025,13741.188289228436,13543.469536837807,197.71875239062547,1000
26,27,1,556.3511309155867,520.3337478492732,36.01738306631353,120549.26386454304,0.00025,14297.539420144023,14063.803284687081,233.736135456939,1000
27,28,1,556.3511309155867,520.178330374398,36.172800541188735,120513.09106400186,0.00025,14853.89055105961,14583.981615061479,269.90893599812773,1000
28,29,1,556.3511309155867,520.0222422624737,36.32888865311304,120476.76217534875,0.00025,15410.241681975198,15104.003857323953,306.23782465124077,1000
29,30,1,556.3511309155867,519.8654806196555,36.48565029593124,120440.27652505282,0.00025,15966.592812890785,15623.869337943608,342.723474947172,1000
30,31,1,556.3511309155867,519.7080425396114,36.64308837597537,120403.63343667684,0.00025,16522.94394380637,16143.577380483219,379.3665633231474,1000
31,32,1,556.3511309155867,519.5499251034685,36.80120581211827,120366.83223086472,0.00025,17079.29507472196,16663.127305586688,416.16776913526564,1000
32,33,1,556.3511309155867,519.3911253797586,36.960005535828145,120329.87222532889,0.00025,17635.646205637546,17182.518430966447,453.1277746710938,1000
33,34,1,556.3511309155867,519.2316404243643,37.11949049122245,120292.75273483766,0.00025,18191.997336553133,17701.750071390812,490.24726516231624,1000
34,35,1,556.3511309155867,519.0714672804638,37.279663635122915,120255.47307120253,0.00025,18748.34846746872,18220.821538671276,527.5269287974392,1000
35,36,1,556.3511309155867,518.9106029784766,37.44052793711012,120218.03254326542,0.00025,19304.699598384308,18739.732141649754,564.9674567345493,1000
36,37,1,556.3511309155867,518.7490445360082,37.60208637957851,120180.43045688584,0.00025,19861.050729299895,19258.481186185763,602.5695431141278,1000
37,38,1,556.3511309155867,518.586788957795,37.76434195779177,120142.66611492804,0.00025,20417.401860215483,19777.06797514356,640.3338850719196,1000
38,39,1,556.3511309155867,518.4238332356483,37.92729767993842,120104.7388172481,0.00025,20973.75299113107,20295.491808379207,678.261182751858,1000
39,40,1,556.3511309155867,518.2601743483992,38.090956567187504,120066.64786068091,0.00025,21530.104122046658,20813.751982727605,716.3521393190455,1000
40,41,1,556.3511309155867,518.0958092618422,38.255321653744545,120028.39253902716,0.00025,22086.455252962245,21331.847791989447,754.60746097279,1000
41,42,1,556.3511309155867,517.9307349286787,38.420395986908034,119989.97214304026,0.00025,22642.806383877833,21849.778526918126,793.027856959698,1000
42,43,1,556.3511309155867,517.7649482884614,38.58618262712537,119951.38596041313,0.00025,23199.15751479342,22367.54347520659,831.6140395868234,1000
43,44,1,556.3511309155867,517.598446267536,38.75268464805072,119912.63327576508,0.00025,23755.508645709007,22885.141921474125,870.3667242348741,1000
44,45,1,556.3511309155867,517.4312257789862,38.919905136600505,119873.71337062848,0.00025,24311.859776624595,23402.57314725311,909.2866293714746,1000
45,46,1,556.3511309155867,517.2632837225749,39.08784719301184,119834.62552343548,0.00025,24868.210907540182,23919.836430975687,948.3744765644865,1000
46,47,1,556.3511309155867,517.0946169846873,39.25651393089947,119795.36900950457,0.00025,25424.56203845577,24436.931047960374,987.630990495386,1000
47,48,1,556.3511309155867,516.9252224382731,39.42590847731367,119755.94310102727,0.00025,25980.913169371357,24953.856270398646,1027.0568989726996,1000
48,49,2,586.2901166908435,516.7550969427888,69.53501974805476,119686.40808127921,0.00025,26567.203286062202,25470.611367341437,1096.5919187207544,1000
49,50,2,586.2901166908435,516.4550485699034,69.83506812094015,119616.57301315827,0.00025,27153.493402753047,25987.06641591134,1166.4269868416945,1000
50,51,2,586.2901166908435,516.1537054677377,70.13641122310582,119546.43660193516,0.00025,27739.783519443892,26503.22012137908,1236.5633980648004,1000
51,52,2,586.2901166908435,515.8510620494461,70.43905464139743,119475.99754729377,0.00025,28326.073636134737,27019.071183428525,1307.0024527061978,1000
